Date,Open,High,Low,Close,Volume,Adj Close
2016-04-01,34.90,35.35,34.80,35.10,58400,35.10
2016-03-01,35.00,36.80,34.50,35.05,63900,35.05
2016-02-01,34.95,36.65,34.15,35.00,61900,35.00
2016-01-01,35.55,36.95,34.00,34.65,32200,34.65
2015-12-01,35.25,37.80,33.50,35.55,34500,35.55
2015-11-02,34.85,37.95,34.35,35.40,24100,35.40
2015-10-01,34.65,35.20,33.55,34.55,21400,34.55
2015-09-01,35.55,37.00,34.20,34.85,26000,34.85
2015-08-03,35.90,36.75,33.85,35.30,36900,35.30
2015-07-01,37.75,39.00,35.00,35.95,62300,35.95
2015-06-01,38.15,38.95,37.00,38.00,99500,38.00
2015-05-01,37.85,38.95,36.60,37.70,61000,37.70
2015-04-01,35.00,44.85,33.05,37.85,238400,37.85
2015-03-02,39.10,44.90,33.50,34.55,241300,34.55
2015-02-02,28.20,53.00,27.55,39.05,615900,39.05
2015-01-01,26.00,31.85,26.00,27.50,44400,27.50
2014-12-01,29.95,32.30,20.55,26.00,111500,26.00
2014-11-03,30.05,32.40,28.15,29.80,91500,29.80
2014-10-01,32.00,34.00,26.85,28.15,107600,28.15
2014-09-01,34.80,36.00,31.50,32.02,45900,32.02
2014-08-01,33.02,40.00,31.90,34.52,227500,34.52
2014-07-01,37.50,37.94,32.01,32.84,49700,32.84
2014-06-02,37.50,38.57,36.10,37.48,13400,37.176
2014-05-01,33.51,39.67,33.05,37.06,33800,36.759
2014-04-01,37.17,38.62,32.86,33.51,21800,33.238
2014-03-03,43.77,44.00,29.90,37.10,89200,36.799
2014-02-03,46.67,49.61,44.00,44.83,46700,44.466
2014-01-01,51.72,54.51,43.61,46.48,48800,46.102
2013-12-02,47.01,56.44,45.06,51.72,76900,51.30
2013-11-01,55.58,55.58,41.55,47.03,57600,46.648
2013-10-01,63.99,63.99,52.01,54.99,45100,54.543
2013-09-02,54.00,66.00,54.00,63.00,74000,62.488
2013-08-01,42.50,63.90,39.80,54.00,202800,53.561
2013-07-01,36.03,46.62,34.14,42.30,142600,41.956
2013-06-03,30.51,39.49,26.73,36.26,114300,35.965
2013-05-01,34.01,34.99,30.00,30.21,36200,29.965
2013-04-01,38.01,41.32,32.61,34.01,46100,32.342
2013-03-01,40.66,41.00,37.50,38.34,39200,36.459
2013-02-01,38.44,42.70,36.25,40.63,133900,38.637
2013-01-01,37.47,41.27,37.10,38.35,98800,36.469
2012-12-03,35.01,39.02,35.00,37.47,12200,35.632
2012-11-01,38.02,40.00,32.46,35.55,22100,33.806
2012-10-01,40.51,44.14,33.30,38.35,51000,36.469
2012-09-03,39.25,42.42,38.08,40.64,83500,38.646
2012-08-01,41.79,46.99,36.06,39.79,23700,37.838
2012-07-02,45.45,45.98,41.02,42.00,20800,39.94
2012-06-01,45.02,46.48,41.54,45.20,21900,42.983
2012-05-01,54.14,54.70,44.14,45.22,90300,43.002
2012-04-02,46.97,55.80,43.01,54.14,233300,51.484
2012-03-01,44.78,49.99,38.988,46.58,285700,44.295
2012-02-01,44.38,50.97,40.01,46.00,152200,43.743
2012-01-10,37.20,46.02,34.03,44.03,220100,41.87
2011-12-01,41.40,44.40,34.03,35.16,79600,33.435
2011-11-01,44.08,44.88,39.00,40.50,62600,38.513
2011-10-03,41.20,45.75,38.52,44.57,15000,42.384
2011-09-01,48.40,50.90,38.29,42.21,1200,40.139
2011-08-01,60.00,60.80,40.32,47.35,2500,45.027
2011-07-01,61.30,64.51,59.63,60.23,700,57.275
2011-06-01,62.78,64.89,60.05,61.32,52700,58.312
2011-05-03,65.98,66.20,58.01,62.80,161800,59.719
2011-04-01,76.17,77.07,64.80,66.00,112200,62.762
2011-03-01,81.70,84.10,73.79,75.94,116700,72.215
2011-02-01,80.20,89.46,79.00,81.56,405100,77.559
2011-01-11,72.93,89.80,72.33,80.78,1381200,76.817
2010-12-01,71.78,83.00,70.64,72.29,155000,68.744
2010-11-01,72.20,84.06,70.60,71.78,105400,68.259
2010-10-01,71.11,84.95,70.45,72.15,201400,68.611
2010-09-01,71.74,79.90,69.05,71.55,89700,68.04
2010-08-02,66.80,75.23,66.12,71.60,61300,68.088
2010-07-01,66.21,77.36,62.51,66.61,27200,63.342
2010-06-01,72.20,74.87,61.82,66.50,35200,63.238
2010-05-04,68.30,74.75,59.36,72.99,69400,69.409
2010-04-01,75.74,79.18,68.95,71.79,74700,68.268
2010-03-03,78.45,86.66,66.10,75.39,81600,71.692
